employment_income,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
150000.0,613.1599,1406.865,2012.4651,2617.065,3153.3,3630.375,4106.45,4582.525
152000.0,510.1599,1303.865,1908.4651,2514.065,3108.3,3584.375,4060.45,4536.525
154000.0,407.1599,1200.865,1805.4651,2411.065,3015.665,3539.375,4015.45,4491.525
156000.0,304.1599,1096.865,1702.4651,2307.065,2912.665,3494.375,3970.45,4446.525
158000.0,200.15991,993.865,1599.4651,2204.065,2809.665,3414.2651,3925.45,4401.525
160000.0,97.15991,890.865,1495.4651,2101.065,2706.665,3311.265,3879.45,4355.525
162000.0,-5.840088,787.865,1392.4651,1998.065,2602.665,3208.265,3813.865,4310.525
164000.0,-108.84009,683.865,1289.4651,1894.065,2499.665,3105.265,3709.865,4265.525
166000.0,-212.84009,580.865,1186.4651,1791.065,2396.665,3001.265,3606.865,4212.465
168000.0,-315.83984,477.865,1082.4651,1688.065,2293.665,2898.265,3503.865,4108.465
170000.0,-418.83984,374.865,979.4651,1585.065,2189.665,2795.265,3400.865,4005.465
172000.0,-521.83984,270.865,876.4651,1481.065,2086.665,2692.265,3296.865,3902.465
174000.0,-625.83984,167.86523,773.4651,1378.065,1983.665,2588.265,3193.865,3799.465
176000.0,-728.83984,64.865234,669.4651,1275.065,1880.665,2485.265,3090.865,3695.465
178000.0,-831.83984,-38.134766,566.46484,1172.065,1776.665,2382.265,2987.865,3592.465
180000.0,-934.83984,-142.13477,463.46484,1068.065,1673.665,2279.265,2883.865,3489.465
182000.0,-1038.8398,-245.13477,360.46484,965.06494,1570.665,2175.265,2780.865,3386.465
184000.0,-1141.8398,-348.13477,256.46484,862.06494,1467.665,2072.265,2677.865,3282.465
186000.0,-1244.8398,-451.13477,153.46484,759.06494,1363.665,1969.2649,2574.865,3179.465
188000.0,-1347.8398,-555.13477,50.464844,655.06494,1260.665,1866.2649,2470.865,3076.465
190000.0,-1451.8398,-658.13477,-52.535156,552.06494,1157.665,1762.2651,2367.865,2973.465
192000.0,-1554.8398,-761.13477,-156.53516,449.06494,1054.665,1659.2651,2264.865,2869.465
194000.0,-1695.4248,-864.13477,-259.53516,346.06494,950.66504,1556.2651,2161.865,2766.465
196000.0,-1840.4248,-968.13477,-362.53516,242.06494,847.66504,1453.2651,2057.8652,2663.465
198000.0,-1985.4248,-1071.1348,-465.53516,139.06494,744.66504,1349.2651,1954.8652,2560.465
200000.0,-2131.4248,-1174.1348,-569.53516,36.06494,641.66504,1246.2651,1851.8652,2456.4648
202000.0,-2276.4248,-1277.1348,-672.53516,-66.93506,537.66504,1143.2651,1748.8652,2353.4648
204000.0,-2421.4248,-1381.1348,-775.53516,-170.93506,434.66504,1040.2651,1644.8652,2250.4648
206000.0,-2566.4248,-1484.1348,-878.53516,-273.93506,331.66504,936.26514,1541.8652,2147.4648
208000.0,-2721.017,-1595.1128,-990.5132,-384.9131,220.68701,825.2871,1430.8872,2035.4868
210000.0,-2875.727,-1707.1929,-1101.5928,-495.99316,108.60693,714.20703,1318.8071,1924.4072
212000.0,-3030.437,-1818.273,-1212.6729,-608.07324,-2.4731445,603.12695,1207.727,1813.3271
214000.0,-3185.1475,-1929.353,-1324.7529,-719.15283,-113.55322,491.04688,1096.647,1701.2471
216000.0,-3339.8574,-2041.4331,-1435.833,-830.2329,-225.63281,379.9668,984.5669,1590.167
218000.0,-3494.5674,-2152.5132,-1546.9131,-942.313,-336.7129,268.8872,873.4868,1479.0869
220000.0,-3649.2773,-2263.5928,-1658.9932,-1053.3931,-447.79297,156.80713,762.4072,1367.0068
222000.0,-3803.9873,-2375.6729,-1770.0732,-1164.4731,-559.87305,45.72705,650.32715,1255.9268
224000.0,-3958.6973,-2486.753,-1881.1528,-1276.5532,-670.9531,-65.35303,539.2471,1144.8472
226000.0,-4113.407,-2597.833,-1993.2329,-1387.6328,-782.0332,-177.4331,428.167,1032.7671
228000.0,-4268.117,-2709.913,-2104.313,-1498.7129,-894.1128,-288.51318,316.0869,921.687
230000.0,-4422.827,-2820.9932,-2215.393,-1610.793,-1005.1929,-399.59277,205.00684,810.60693
232000.0,-4577.537,-2932.0732,-2327.4731,-1721.873,-1116.273,-511.67285,93.92676,698.52686
234000.0,-4732.247,-3044.1533,-2438.5532,-1832.9531,-1228.353,-622.7529,-18.152832,587.4468
236000.0,-4886.957,-3155.2334,-2549.6328,-1945.0332,-1339.4331,-733.833,-129.23291,476.3672
